year_film,year_ceremony,category,film,name
2001,2002,ACTOR IN A LEADING ROLE,Training Day,Denzel Washington
2001,2002,ACTOR IN A SUPPORTING ROLE,Iris,Jim Broadbent
2001,2002,ACTRESS IN A LEADING ROLE,Monster's Ball,Halle Berry
2001,2002,ACTRESS IN A SUPPORTING ROLE,A Beautiful Mind,Jennifer Connelly
2001,2002,ANIMATED FEATURE FILM,Shrek,Aron Warner
2001,2002,ART DIRECTION,Moulin Rouge (2001),Art Direction:  Catherine Martin; Set Decoration:  Brigitte Broch
2001,2002,BEST PICTURE,A Beautiful Mind,"Brian Grazer and Ron Howard, Producers"
2001,2002,CINEMATOGRAPHY,The Lord of the Rings: The Fellowship of the Ring,Andrew Lesnie
2001,2002,COSTUME DESIGN,Moulin Rouge (2001),"Catherine Martin, Angus Strathie"
2001,2002,DIRECTING,A Beautiful Mind,Ron Howard
2001,2002,DOCUMENTARY (Feature),Murder on a Sunday Morning,"Jean-Xavier de Lestrade, Denis Poncet"
2001,2002,DOCUMENTARY (Short Subject),Thoth,"Sarah Kernochan, Lynn Appelle"
2001,2002,FILM EDITING,Black Hawk Down,Pietro Scalia
2001,2002,FOREIGN LANGUAGE FILM,No Man's Land,Bosnia & Herzegovina
2001,2002,MAKEUP,The Lord of the Rings: The Fellowship of the Ring,"Peter Owen, Richard Taylor"
2001,2002,MUSIC (Original Score),The Lord of the Rings: The Fellowship of the Ring,Howard Shore
2001,2002,MUSIC (Original Song),"Monsters, Inc.",Music and Lyric by Randy Newman
2001,2002,SHORT FILM (Animated),For the Birds,Ralph Eggleston
2001,2002,SHORT FILM (Live Action),The Accountant,"Ray McKinnon, Lisa Blount"
2001,2002,SOUND,Black Hawk Down,"Michael Minkler, Myron Nettinga, Chris Munro"
2001,2002,SOUND EDITING,Pearl Harbor,"George Watters II, Christopher Boyes"
2001,2002,VISUAL EFFECTS,The Lord of the Rings: The Fellowship of the Ring,"Jim Rygiel, Randall William Cook, Richard Taylor, Mark Stetson"
2001,2002,WRITING (Screenplay Based on Material Previously Produced or Published),A Beautiful Mind,Written by Akiva Goldsman
2001,2002,WRITING (Screenplay Written Directly for the Screen),Gosford Park,Written by Julian Fellowes
2002,2003,ACTOR IN A LEADING ROLE,The Pianist,Adrien Brody
2002,2003,ACTOR IN A SUPPORTING ROLE,Adaptation,Chris Cooper
2002,2003,ACTRESS IN A LEADING ROLE,The Hours,Nicole Kidman
2002,2003,ACTRESS IN A SUPPORTING ROLE,Chicago,Catherine Zeta-Jones
2002,2003,ANIMATED FEATURE FILM,Spirited Away,Hayao Miyazaki
2002,2003,ART DIRECTION,Chicago,Art Direction:  John Myhre; Set Decoration:  Gordon Sim
2002,2003,BEST PICTURE,Chicago,"Martin Richards, Producer"
2002,2003,CINEMATOGRAPHY,Road to Perdition,Conrad L. Hall
2002,2003,COSTUME DESIGN,Chicago,Colleen Atwood
2002,2003,DIRECTING,The Pianist,Roman Polanski
2002,2003,DOCUMENTARY (Feature),Bowling for Columbine,"Michael Moore, Michael Donovan"
2002,2003,DOCUMENTARY (Short Subject),Twin Towers,"Bill Guttentag, Robert David Port"
2002,2003,FILM EDITING,Chicago,Martin Walsh
2002,2003,FOREIGN LANGUAGE FILM,Nowhere in Africa,Germany
2002,2003,MAKEUP,Frida,"John Jackson, Beatrice De Alba"
2002,2003,MUSIC (Original Score),Frida,Elliot Goldenthal
2002,2003,MUSIC (Original Song),8 Mile,"Music by Eminem, Jeff Bass and Luis Resto; Lyric by Eminem"
2002,2003,SHORT FILM (Animated),The ChubbChubbs!,Eric Armstrong
2002,2003,SHORT FILM (Live Action),This Charming Man (Der Er En Yndig Mand),"Martin Strange-Hansen, Mie Andreasen"
2002,2003,SOUND,Chicago,"Michael Minkler, Dominick Tavella, David Lee"
2002,2003,SOUND EDITING,The Lord of the Rings: The Two Towers,"Ethan Van der Ryn, Michael Hopkins"
2002,2003,VISUAL EFFECTS,The Lord of the Rings: The Two Towers,"Jim Rygiel, Joe Letteri, Randall William Cook, Alex Funke"
2002,2003,WRITING (Adapted Screenplay),The Pianist,Screenplay by Ronald Harwood
2002,2003,WRITING (Original Screenplay),Talk to Her,Written by Pedro Almodóvar
2003,2004,ACTOR IN A LEADING ROLE,Mystic River,Sean Penn
2003,2004,ACTOR IN A SUPPORTING ROLE,Mystic River,Tim Robbins
2003,2004,ACTRESS IN A LEADING ROLE,Monster,Charlize Theron
2003,2004,ACTRESS IN A SUPPORTING ROLE,Cold Mountain,Renée Zellweger
2003,2004,ANIMATED FEATURE FILM,Finding Nemo,Andrew Stanton
2003,2004,ART DIRECTION,The Lord of the Rings: The Return of the King,Art Direction: Grant Major; Set Decoration: Dan Hennah and Alan Lee
2003,2004,BEST PICTURE,The Lord of the Rings: The Return of the King,"Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers"
2003,2004,CINEMATOGRAPHY,Master and Commander: The Far Side of the World,Russell Boyd
2003,2004,COSTUME DESIGN,The Lord of the Rings: The Return of the King,Ngila Dickson and Richard Taylor
2003,2004,DIRECTING,The Lord of the Rings: The Return of the King,Peter Jackson
2003,2004,DOCUMENTARY (Feature),The Fog of War,Errol Morris and Michael Williams
2003,2004,DOCUMENTARY (Short Subject),Chernobyl Heart,Maryann DeLeo
2003,2004,FILM EDITING,The Lord of the Rings: The Return of the King,Jamie Selkirk
2003,2004,FOREIGN LANGUAGE FILM,The Barbarian Invasions,Canada
2003,2004,MAKEUP,The Lord of the Rings: The Return of the King,Richard Taylor and Peter King
2003,2004,MUSIC (Original Score),The Lord of the Rings: The Return of the King,Howard Shore
2003,2004,MUSIC (Original Song),The Lord of the Rings: The Return of the King,Music and Lyric by Fran Walsh and Howard Shore and Annie Lennox
2003,2004,SHORT FILM (Animated),Harvie Krumpet,Adam Elliot
2003,2004,SHORT FILM (Live Action),Two Soldiers,Aaron Schneider and Andrew J. Sacks
2003,2004,SOUND EDITING,Master and Commander: The Far Side of the World,Richard King
2003,2004,SOUND MIXING,The Lord of the Rings: The Return of the King,"Christopher Boyes, Michael Semanick, Michael Hedges and Hammond Peek"
2003,2004,VISUAL EFFECTS,The Lord of the Rings: The Return of the King,"Jim Rygiel, Joe Letteri, Randall William Cook and Alex Funke"
2003,2004,WRITING (Adapted Screenplay),The Lord of the Rings: The Return of the King,"Screenplay by Fran Walsh, Philippa Boyens & Peter Jackson"
2003,2004,WRITING (Original Screenplay),Lost in Translation,Written by Sofia Coppola
2004,2005,ACTOR IN A LEADING ROLE,Ray,Jamie Foxx
2004,2005,ACTOR IN A SUPPORTING ROLE,Million Dollar Baby,Morgan Freeman
2004,2005,ACTRESS IN A LEADING ROLE,Million Dollar Baby,Hilary Swank
2004,2005,ACTRESS IN A SUPPORTING ROLE,The Aviator,Cate Blanchett
2004,2005,ANIMATED FEATURE FILM,The Incredibles,Brad Bird
2004,2005,ART DIRECTION,The Aviator,Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo
2004,2005,BEST PICTURE,Million Dollar Baby,"Clint Eastwood, Albert S. Ruddy and Tom Rosenberg, Producers"
2004,2005,CINEMATOGRAPHY,The Aviator,Robert Richardson
2004,2005,COSTUME DESIGN,The Aviator,Sandy Powell
2004,2005,DIRECTING,Million Dollar Baby,Clint Eastwood
2004,2005,DOCUMENTARY (Feature),Born into Brothels,Ross Kauffman and Zana Briski
2004,2005,DOCUMENTARY (Short Subject),Mighty Times: The Children's March,Robert Hudson and Bobby Houston
2004,2005,FILM EDITING,The Aviator,Thelma Schoonmaker
2004,2005,FOREIGN LANGUAGE FILM,The Sea Inside,Spain
2004,2005,MAKEUP,Lemony Snicket's A Series of Unfortunate Events,Valli O'Reilly and Bill Corso
2004,2005,MUSIC (Original Score),Finding Neverland,Jan A.P. Kaczmarek
2004,2005,MUSIC (Original Song),The Motorcycle Diaries,Music and Lyric by Jorge Drexler
2004,2005,SHORT FILM (Animated),Ryan,Chris Landreth
2004,2005,SHORT FILM (Live Action),Wasp,Andrea Arnold
2004,2005,SOUND EDITING,The Incredibles,Michael Silvers and Randy Thom
2004,2005,SOUND MIXING,Ray,"Scott Millan, Greg Orloff, Bob Beemer and Steve Cantamessa"
2004,2005,VISUAL EFFECTS,Spider-Man 2,"John Dykstra, Scott Stokdyk, Anthony LaMolinara and John Frazier"
2004,2005,WRITING (Adapted Screenplay),Sideways,Screenplay by Alexander Payne & Jim Taylor
2004,2005,WRITING (Original Screenplay),Eternal Sunshine of the Spotless Mind,Screenplay by Charlie Kaufman; Story by Charlie Kaufman & Michel Gondry & Pierre Bismuth
2005,2006,ACTOR IN A LEADING ROLE,Capote,Philip Seymour Hoffman
2005,2006,ACTOR IN A SUPPORTING ROLE,Syriana,George Clooney
2005,2006,ACTRESS IN A LEADING ROLE,Walk the Line,Reese Witherspoon
2005,2006,ACTRESS IN A SUPPORTING ROLE,The Constant Gardener,Rachel Weisz
2005,2006,ANIMATED FEATURE FILM,Wallace & Gromit in The Curse of the Were-Rabbit,Nick Park and Steve Box
2005,2006,ART DIRECTION,Memoirs of a Geisha,Art Direction:  John Myhre; Set Decoration:  Gretchen Rau
