year_film,year_ceremony,category,film,name
1973,1974,MUSIC (Song),The Way We Were,Music by Marvin Hamlisch; Lyrics by Alan Bergman and Marilyn Bergman
1973,1974,SHORT SUBJECT (Animated),Frank Film,"Frank Mouris, Producer"
1973,1974,SHORT SUBJECT (Live Action),The Bolero,"Allan Miller and William Fertik, Producers"
1973,1974,SOUND,The Exorcist,"Robert Knudson, Chris Newman"
1973,1974,WRITING (Screenplay--based on material from another medium),The Exorcist,William Peter Blatty
1973,1974,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),The Sting,David S. Ward
1974,1975,ACTOR,Harry and Tonto,Art Carney
1974,1975,ACTOR IN A SUPPORTING ROLE,The Godfather Part II,Robert De Niro
1974,1975,ACTRESS,Alice Doesn't Live Here Anymore,Ellen Burstyn
1974,1975,ACTRESS IN A SUPPORTING ROLE,Murder on the Orient Express,Ingrid Bergman
1974,1975,ART DIRECTION,The Godfather Part II,"Art Direction:  Dean Tavoularis, Angelo Graham;  Set Decoration:  George R. Nelson"
1974,1975,BEST PICTURE,The Godfather Part II,"Francis Ford Coppola, Producer;  Gray Frederickson and Fred Roos, Co-Producers"
1974,1975,CINEMATOGRAPHY,The Towering Inferno,"Fred Koenekamp, Joseph Biroc"
1974,1975,COSTUME DESIGN,The Great Gatsby (1974),Theoni V. Aldredge
1974,1975,DIRECTING,The Godfather Part II,Francis Ford Coppola
1974,1975,DOCUMENTARY (Feature),Hearts and Minds,"Peter Davis and Bert Schneider, Producers"
1974,1975,DOCUMENTARY (Short Subject),Don't,"Robin Lehman, Producer"
1974,1975,FILM EDITING,The Towering Inferno,"Harold F. Kress, Carl Kress"
1974,1975,FOREIGN LANGUAGE FILM,Amarcord (1974),Italy
1974,1975,MUSIC (Original Dramatic Score),The Godfather Part II,"Nino Rota, Carmine Coppola"
1974,1975,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),The Great Gatsby (1974),Adaptation Score by Nelson Riddle
1974,1975,MUSIC (Song),The Towering Inferno,Music and Lyrics by Al Kasha and Joel Hirschhorn
1974,1975,SHORT FILM (Animated),Closed Mondays,"Will Vinton and Bob Gardiner, Producers"
1974,1975,SHORT FILM (Live Action),One-Eyed Men Are Kings,"Paul Claudon and Edmond Sechan, Producers"
1974,1975,SOUND,Earthquake,"Ronald Pierce, Melvin Metcalfe, Sr."
1974,1975,SPECIAL ACHIEVEMENT AWARD (Visual Effects),Earthquake,"Frank Brendel, Glen Robinson, Albert Whitlock"
1974,1975,WRITING (Original Screenplay),Chinatown,Robert Towne
1974,1975,WRITING (Screenplay Adapted from Other Material),The Godfather Part II,"Francis Ford Coppola, Mario Puzo"
1975,1976,ACTOR,One Flew over the Cuckoo's Nest,Jack Nicholson
1975,1976,ACTOR IN A SUPPORTING ROLE,The Sunshine Boys,George Burns
1975,1976,ACTRESS,One Flew over the Cuckoo's Nest,Louise Fletcher
1975,1976,ACTRESS IN A SUPPORTING ROLE,Shampoo,Lee Grant
1975,1976,ART DIRECTION,Barry Lyndon,"Art Direction:  Ken Adam, Roy Walker;  Set Decoration:  Vernon Dixon"
1975,1976,BEST PICTURE,One Flew over the Cuckoo's Nest,"Saul Zaentz and Michael Douglas, Producers"
1975,1976,CINEMATOGRAPHY,Barry Lyndon,John Alcott
1975,1976,COSTUME DESIGN,Barry Lyndon,"Ulla-Britt Soderlund, Milena Canonero"
1975,1976,DIRECTING,One Flew over the Cuckoo's Nest,Milos Forman
1975,1976,DOCUMENTARY (Feature),The Man Who Skied down Everest,"F. R. Crawley, James Hager and Dale Hartleben, Producers"
1975,1976,DOCUMENTARY (Short Subject),The End of the Game,"Claire Wilbur and Robin Lehman, Producers"
1975,1976,FILM EDITING,Jaws,Verna Fields
1975,1976,FOREIGN LANGUAGE FILM,Dersu Uzala,Union of Soviet Socialist Republics
1975,1976,MUSIC (Original Score),Jaws,John Williams
1975,1976,MUSIC (Original Song),Nashville,Music and Lyrics by Keith Carradine
1975,1976,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),Barry Lyndon,Adaptation Score by Leonard Rosenman
1975,1976,SHORT FILM (Animated),Great,"Bob Godfrey, Producer"
1975,1976,SHORT FILM (Live Action),Angel and Big Joe,"Bert Salzman, Producer"
1975,1976,SOUND,Jaws,"Robert L. Hoyt, Roger Heman, Earl Madery, John Carter"
1975,1976,SPECIAL ACHIEVEMENT AWARD (Sound Effects),The Hindenburg,Peter Berkos
1975,1976,SPECIAL ACHIEVEMENT AWARD (Visual Effects),The Hindenburg,"Albert Whitlock, Glen Robinson"
1975,1976,WRITING (Original Screenplay),Dog Day Afternoon,Frank Pierson
1975,1976,WRITING (Screenplay Adapted from Other Material),One Flew over the Cuckoo's Nest,"Lawrence Hauben, Bo Goldman"
1976,1977,ACTOR IN A LEADING ROLE,Network,Peter Finch
1976,1977,ACTOR IN A SUPPORTING ROLE,All the President's Men,Jason Robards
1976,1977,ACTRESS IN A LEADING ROLE,Network,Faye Dunaway
1976,1977,ACTRESS IN A SUPPORTING ROLE,Network,Beatrice Straight
1976,1977,ART DIRECTION,All the President's Men,Art Direction:  George Jenkins;  Set Decoration:  George Gaines
1976,1977,BEST PICTURE,Rocky,"Irwin Winkler and Robert Chartoff, Producers"
1976,1977,CINEMATOGRAPHY,Bound for Glory,Haskell Wexler
1976,1977,COSTUME DESIGN,Fellini's Casanova,Danilo Donati
1976,1977,DIRECTING,Rocky,John G. Avildsen
1976,1977,DOCUMENTARY (Feature),"Harlan County, U.S.A.","Barbara Kopple, Producer"
1976,1977,DOCUMENTARY (Short Subject),Number Our Days,"Lynne Littman, Producer"
1976,1977,FILM EDITING,Rocky,"Richard Halsey, Scott Conrad"
1976,1977,FOREIGN LANGUAGE FILM,Black and White in Color,Ivory Coast
1976,1977,MUSIC (Original Score),The Omen,Jerry Goldsmith
1976,1977,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),Bound for Glory,Adaptation Score by Leonard Rosenman
1976,1977,MUSIC (Original Song),A Star Is Born (1976),Music by Barbra Streisand; Lyrics by Paul Williams
1976,1977,SHORT FILM (Animated),Leisure,"Suzanne Baker, Producer"
1976,1977,SHORT FILM (Live Action),In the Region of Ice,"Andre Guttfreund and Peter Werner, Producers"
1976,1977,SOUND,All the President's Men,"Arthur Piantadosi, Les Fresholtz, Dick Alexander, Jim Webb"
1976,1977,SPECIAL ACHIEVEMENT AWARD (Visual Effects),King Kong (1976),"Carlo Rambaldi, Glen Robinson, Frank Van der Veer"
1976,1977,SPECIAL ACHIEVEMENT AWARD (Visual Effects),Logan's Run,"L. B. Abbott, Glen Robinson, Matthew Yuricich"
1976,1977,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),Network,Paddy Chayefsky
1976,1977,WRITING (Screenplay--based on material from another medium),All the President's Men,William Goldman
1977,1978,ACTOR IN A LEADING ROLE,The Goodbye Girl,Richard Dreyfuss
1977,1978,ACTOR IN A SUPPORTING ROLE,Julia,Jason Robards
1977,1978,ACTRESS IN A LEADING ROLE,Annie Hall,Diane Keaton
1977,1978,ACTRESS IN A SUPPORTING ROLE,Julia,Vanessa Redgrave
1977,1978,ART DIRECTION,Star Wars,"Art Direction:  John Barry, Norman Reynolds, Leslie Dilley;  Set Decoration:  Roger Christian"
1977,1978,BEST PICTURE,Annie Hall,"Charles H. Joffe, Producer"
1977,1978,CINEMATOGRAPHY,Close Encounters of the Third Kind,Vilmos Zsigmond
1977,1978,COSTUME DESIGN,Star Wars,John Mollo
1977,1978,DIRECTING,Annie Hall,Woody Allen
1977,1978,DOCUMENTARY (Feature),Who Are the DeBolts? And Where Did They Get Nineteen Kids?,"John Korty, Dan McCann and Warren L. Lockhart, Producers"
1977,1978,DOCUMENTARY (Short Subject),Gravity Is My Enemy,"John Joseph and Jan Stussy, Producers"
1977,1978,FILM EDITING,Star Wars,"Paul Hirsch, Marcia Lucas, Richard Chew"
1977,1978,FOREIGN LANGUAGE FILM,Madame Rosa,France
1977,1978,MUSIC (Original Score),Star Wars,John Williams
1977,1978,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),A Little Night Music,Adaptation Score by Jonathan Tunick
1977,1978,MUSIC (Original Song),You Light Up My Life,Music and Lyrics by Joseph Brooks
1977,1978,SHORT FILM (Animated),The Sand Castle,"Co Hoedeman, Producer"
1977,1978,SHORT FILM (Live Action),I'll Find a Way,"Beverly Shaffer and Yuki Yoshida, Producers"
1977,1978,SOUND,Star Wars,"Don MacDougall, Ray West, Bob Minkler, Derek Ball"
1977,1978,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),Close Encounters of the Third Kind,Frank E. Warner
1977,1978,VISUAL EFFECTS,Star Wars,"John Stears, John Dykstra, Richard Edlund, Grant McCune, Robert Blalack"
1977,1978,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),Annie Hall,"Woody Allen, Marshall Brickman"
1977,1978,WRITING (Screenplay--based on material from another medium),Julia,Alvin Sargent
1978,1979,ACTOR IN A LEADING ROLE,Coming Home,Jon Voight
1978,1979,ACTOR IN A SUPPORTING ROLE,The Deer Hunter,Christopher Walken
1978,1979,ACTRESS IN A LEADING ROLE,Coming Home,Jane Fonda
1978,1979,ACTRESS IN A SUPPORTING ROLE,California Suite,Maggie Smith
1978,1979,ART DIRECTION,Heaven Can Wait (1978),"Art Direction:  Paul Sylbert, Edwin O'Donovan;  Set Decoration:  George Gaines"
1978,1979,BEST PICTURE,The Deer Hunter,"Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers"
1978,1979,CINEMATOGRAPHY,Days of Heaven,Nestor Almendros
1978,1979,COSTUME DESIGN,Death on the Nile,Anthony Powell
1978,1979,DIRECTING,The Deer Hunter,Michael Cimino
1978,1979,DOCUMENTARY (Feature),Scared Straight!,"Arnold Shapiro, Producer"
1978,1979,DOCUMENTARY (Short Subject),The Flight of the Gossamer Condor,"Jacqueline Phillips Shedd and Ben Shedd, Producers"
1978,1979,FILM EDITING,The Deer Hunter,Peter Zinner
1978,1979,FOREIGN LANGUAGE FILM,Get Out Your Handkerchiefs,France
1978,1979,MUSIC (Adaptation Score),The Buddy Holly Story,Joe Renzetti
1978,1979,MUSIC (Original Score),Midnight Express,Giorgio Moroder
1978,1979,MUSIC (Original Song),Thank God It's Friday,Music and Lyrics by Paul Jabara
1978,1979,SHORT FILM (Animated),Special Delivery,"Eunice Macaulay and John Weldon, Producers"
1978,1979,SHORT FILM (Live Action),Teenage Father,"Taylor Hackford, Producer"
1978,1979,SOUND,The Deer Hunter,"Richard Portman, William McCaughey, Aaron Rochin, Darin Knight"
1978,1979,SPECIAL ACHIEVEMENT AWARD (Visual Effects),Superman (1978),"Les Bowie, Colin Chilvers, Denys Coop, Roy Field, Derek Meddings, Zoran Perisic"
1978,1979,WRITING (Screenplay Based on Material from Another Medium),Midnight Express,Oliver Stone
1978,1979,WRITING (Screenplay Written Directly for the Screen),Coming Home,"Story by Nancy Dowd;  Screenplay by Waldo Salt, Robert C. Jones"
1979,1980,ACTOR IN A LEADING ROLE,Kramer vs. Kramer,Dustin Hoffman
1979,1980,ACTOR IN A SUPPORTING ROLE,Being There,Melvyn Douglas
1979,1980,ACTRESS IN A LEADING ROLE,Norma Rae,Sally Field
1979,1980,ACTRESS IN A SUPPORTING ROLE,Kramer vs. Kramer,Meryl Streep
1979,1980,ART DIRECTION,All That Jazz,"Art Direction:  Philip Rosenberg, Tony Walton;  Set Decoration:  Edward Stewart, Gary Brink"
1979,1980,BEST PICTURE,Kramer vs. Kramer,"Stanley R. Jaffe, Producer"
1979,1980,CINEMATOGRAPHY,Apocalypse Now,Vittorio Storaro
1979,1980,COSTUME DESIGN,All That Jazz,Albert Wolsky
1979,1980,DIRECTING,Kramer vs. Kramer,Robert Benton
1979,1980,DOCUMENTARY (Feature),Best Boy,"Ira Wohl, Producer"
1979,1980,DOCUMENTARY (Short Subject),Paul Robeson: Tribute to an Artist,"Saul J. Turell, Producer"
1979,1980,FILM EDITING,All That Jazz,Alan Heim
1979,1980,FOREIGN LANGUAGE FILM,The Tin Drum,Federal Republic of Germany
1979,1980,MUSIC (Original Score),A Little Romance,Georges Delerue
1979,1980,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),All That Jazz,Adaptation Score by Ralph Burns
1979,1980,MUSIC (Original Song),Norma Rae,Music by David Shire; Lyric by Norman Gimbel
1979,1980,SHORT FILM (Animated),Every Child,"Derek Lamb, Producer"
1979,1980,SHORT FILM (Live Action),Board and Care,"Sarah Pillsbury and Ron Ellis, Producers"
1979,1980,SOUND,Apocalypse Now,"Walter Murch, Mark Berger, Richard Beggs, Nat Boxer"
1979,1980,SPECIAL ACHIEVEMENT AWARD (Sound Editing),The Black Stallion,Alan Splet
1979,1980,VISUAL EFFECTS,Alien,"H.R. Giger, Carlo Rambaldi, Brian Johnson, Nick Allder, Denys Ayling"
1979,1980,WRITING (Screenplay Based on Material from Another Medium),Kramer vs. Kramer,Robert Benton
1979,1980,WRITING (Screenplay Written Directly for the Screen),Breaking Away,Steve Tesich
1980,1981,ACTOR IN A LEADING ROLE,Raging Bull,Robert De Niro
1980,1981,ACTOR IN A SUPPORTING ROLE,Ordinary People,Timothy Hutton
1980,1981,ACTRESS IN A LEADING ROLE,Coal Miner's Daughter,Sissy Spacek
1980,1981,ACTRESS IN A SUPPORTING ROLE,Melvin and Howard,Mary Steenburgen
1980,1981,ART DIRECTION,Tess,"Art Direction:  Pierre Guffroy, Jack Stephens"
1980,1981,BEST PICTURE,Ordinary People,"Ronald L. Schwary, Producer"
1980,1981,CINEMATOGRAPHY,Tess,"Geoffrey Unsworth, Ghislain Cloquet"
1980,1981,COSTUME DESIGN,Tess,Anthony Powell
1980,1981,DIRECTING,Ordinary People,Robert Redford
1980,1981,DOCUMENTARY (Feature),From Mao to Mozart: Isaac Stern in China,"Murray Lerner, Producer"
1980,1981,DOCUMENTARY (Short Subject),Karl Hess: Toward Liberty,"Roland Hallé and Peter W. Ladue, Producers"
1980,1981,FILM EDITING,Raging Bull,Thelma Schoonmaker
1980,1981,FOREIGN LANGUAGE FILM,Moscow Does Not Believe in Tears,Union of Soviet Socialist Republics
1980,1981,MUSIC (Original Score),Fame,Michael Gore
1980,1981,MUSIC (Original Song),Fame,Music by Michael Gore; Lyric by Dean Pitchford
1980,1981,SHORT FILM (Animated),The Fly (1980),"Ferenc Rofusz, Producer"
1980,1981,SHORT FILM (Dramatic Live Action),The Dollar Bottom,"Lloyd Phillips, Producer"
1980,1981,SOUND,The Empire Strikes Back,"Bill Varney, Steve Maslow, Gregg Landaker, Peter Sutton"
1980,1981,SPECIAL ACHIEVEMENT AWARD (Visual Effects),The Empire Strikes Back,"Brian Johnson, Richard Edlund, Dennis Muren, Bruce Nicholson"
1980,1981,WRITING (Screenplay Based on Material from Another Medium),Ordinary People,Alvin Sargent
1980,1981,WRITING (Screenplay Written Directly for the Screen),Melvin and Howard,Bo Goldman
1981,1982,ACTOR IN A LEADING ROLE,On Golden Pond,Henry Fonda
1981,1982,ACTOR IN A SUPPORTING ROLE,Arthur,John Gielgud
1981,1982,ACTRESS IN A LEADING ROLE,On Golden Pond,Katharine Hepburn
1981,1982,ACTRESS IN A SUPPORTING ROLE,Reds,Maureen Stapleton
1981,1982,ART DIRECTION,Raiders of the Lost Ark,"Art Direction:  Norman Reynolds, Leslie Dilley;  Set Decoration:  Michael Ford"
1981,1982,BEST PICTURE,Chariots of Fire,"David Puttnam, Producer"
1981,1982,CINEMATOGRAPHY,Reds,Vittorio Storaro
1981,1982,COSTUME DESIGN,Chariots of Fire,Milena Canonero
1981,1982,DIRECTING,Reds,Warren Beatty
1981,1982,DOCUMENTARY (Feature),Genocide,"Arnold Schwartzman and Rabbi Marvin Hier, Producers"
1981,1982,DOCUMENTARY (Short Subject),Close Harmony,"Nigel Noble, Producer"
1981,1982,FILM EDITING,Raiders of the Lost Ark,Michael Kahn
1981,1982,FOREIGN LANGUAGE FILM,Mephisto,Hungary
1981,1982,MAKEUP,An American Werewolf in London,Rick Baker
1981,1982,MUSIC (Original Score),Chariots of Fire,Vangelis
1981,1982,MUSIC (Original Song),Arthur,"Music and Lyric by Burt Bacharach, Carole Bayer Sager, Christopher Cross and Peter Allen"
1981,1982,SHORT FILM (Animated),Crac,"Frédéric Back, Producer"
1981,1982,SHORT FILM (Live Action),Violet,"Paul Kemp and Shelley Levinson, Producers"
1981,1982,SOUND,Raiders of the Lost Ark,"Bill Varney, Steve Maslow, Gregg Landaker, Roy Charman"
1981,1982,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),Raiders of the Lost Ark,"Ben Burtt, Richard L. Anderson"
1981,1982,VISUAL EFFECTS,Raiders of the Lost Ark,"Richard Edlund, Kit West, Bruce Nicholson, Joe Johnston"
1981,1982,WRITING (Screenplay Based on Material from Another Medium),On Golden Pond,Ernest Thompson
1981,1982,WRITING (Screenplay Written Directly for the Screen),Chariots of Fire,Colin Welland
1982,1983,ACTOR IN A LEADING ROLE,Gandhi,Ben Kingsley
1982,1983,ACTOR IN A SUPPORTING ROLE,An Officer and a Gentleman,"Louis Gossett, Jr."
1982,1983,ACTRESS IN A LEADING ROLE,Sophie's Choice,Meryl Streep
1982,1983,ACTRESS IN A SUPPORTING ROLE,Tootsie,Jessica Lange
1982,1983,ART DIRECTION,Gandhi,"Art Direction:  Stuart Craig, Bob Laing;  Set Decoration:  Michael Seirton"
1982,1983,BEST PICTURE,Gandhi,"Richard Attenborough, Producer"
1982,1983,CINEMATOGRAPHY,Gandhi,"Billy Williams, Ronnie Taylor"
1982,1983,COSTUME DESIGN,Gandhi,"John Mollo, Bhanu Athaiya"
1982,1983,DIRECTING,Gandhi,Richard Attenborough
1982,1983,DOCUMENTARY (Feature),Just Another Missing Kid,"John Zaritsky, Producer"
1982,1983,DOCUMENTARY (Short Subject),If You Love This Planet,"Edward Le Lorrain and Terri Nash, Producers"
1982,1983,FILM EDITING,Gandhi,John Bloom
1982,1983,FOREIGN LANGUAGE FILM,Volver a Empezar ('To Begin Again'),Spain
1982,1983,MAKEUP,Quest for Fire,"Sarah Monzani, Michèle Burke"
1982,1983,MUSIC (Original Score),E.T. The Extra-Terrestrial,John Williams
1982,1983,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),Victor/Victoria,Song Score by Henry Mancini and Leslie Bricusse; Adaptation Score by Henry Mancini
1982,1983,MUSIC (Original Song),An Officer and a Gentleman,Music by Jack Nitzsche and Buffy Sainte-Marie; Lyric by Will Jennings
1982,1983,SHORT FILM (Animated),Tango (1982),"Zbigniew Rybczynski, Producer"
1982,1983,SHORT FILM (Live Action),A Shocking Accident,"Christine Oestreicher, Producer"
1982,1983,SOUND,E.T. The Extra-Terrestrial,"Robert Knudson, Robert Glass, Don Digirolamo, Gene Cantamessa"
1982,1983,SOUND EFFECTS EDITING,E.T. The Extra-Terrestrial,"Charles L. Campbell, Ben Burtt"
1982,1983,VISUAL EFFECTS,E.T. The Extra-Terrestrial,"Carlo Rambaldi, Dennis Muren, Kenneth F. Smith"
1982,1983,WRITING (Screenplay Based on Material from Another Medium),Missing,"Costa-Gavras, Donald Stewart"
1982,1983,WRITING (Screenplay Written Directly for the Screen),Gandhi,John Briley
1983,1984,ACTOR IN A LEADING ROLE,Tender Mercies,Robert Duvall
1983,1984,ACTOR IN A SUPPORTING ROLE,Terms of Endearment,Jack Nicholson
1983,1984,ACTRESS IN A LEADING ROLE,Terms of Endearment,Shirley MacLaine
1983,1984,ACTRESS IN A SUPPORTING ROLE,The Year of Living Dangerously,Linda Hunt
1983,1984,ART DIRECTION,Fanny & Alexander,Anna Asp
1983,1984,BEST PICTURE,Terms of Endearment,"James L. Brooks, Producer"
1983,1984,CINEMATOGRAPHY,Fanny & Alexander,Sven Nykvist
1983,1984,COSTUME DESIGN,Fanny & Alexander,Marik Vos
1983,1984,DIRECTING,Terms of Endearment,James L. Brooks
1983,1984,DOCUMENTARY (Feature),He Makes Me Feel Like Dancin',"Emile Ardolino, Producer"
1983,1984,DOCUMENTARY (Short Subject),Flamenco at 5:15,"Cynthia Scott and Adam Symansky, Producers"
1983,1984,FILM EDITING,The Right Stuff,"Glenn Farr, Lisa Fruchtman, Stephen A. Rotter, Douglas Stewart, Tom Rolf"
1983,1984,FOREIGN LANGUAGE FILM,Fanny & Alexander,Sweden
1983,1984,MUSIC (Original Score),The Right Stuff,Bill Conti
1983,1984,MUSIC (Original Song Score or Adaptation Score),Yentl,"Song Score by Michel Legrand, Alan Bergman and Marilyn Bergman"
1983,1984,MUSIC (Original Song),Flashdance,Music by Giorgio Moroder; Lyric by Keith Forsey and Irene Cara
1983,1984,SHORT FILM (Animated),Sundae in New York,"Jimmy Picker, Producer"
1983,1984,SHORT FILM (Live Action),Boys and Girls,"Janice L. Platt, Producer"
1983,1984,SOUND,The Right Stuff,"Mark Berger, Tom Scott, Randy Thom, David MacMillan"
1983,1984,SOUND EFFECTS EDITING,The Right Stuff,Jay Boekelheide
1983,1984,SPECIAL ACHIEVEMENT AWARD (Visual Effects),Return of the Jedi,"Richard Edlund, Dennis Muren, Ken Ralston, Phil Tippett"
1983,1984,WRITING (Screenplay Based on Material from Another Medium),Terms of Endearment,James L. Brooks
1983,1984,WRITING (Screenplay Written Directly for the Screen),Tender Mercies,Horton Foote
1984,1985,ACTOR IN A LEADING ROLE,Amadeus,F. Murray Abraham
1984,1985,ACTOR IN A SUPPORTING ROLE,The Killing Fields,Haing S. Ngor
1984,1985,ACTRESS IN A LEADING ROLE,Places in the Heart,Sally Field
1984,1985,ACTRESS IN A SUPPORTING ROLE,A Passage to India,Peggy Ashcroft
1984,1985,ART DIRECTION,Amadeus,Art Direction:  Patrizia Von Brandenstein;  Set Decoration:  Karel Cerny
1984,1985,BEST PICTURE,Amadeus,"Saul Zaentz, Producer"
1984,1985,CINEMATOGRAPHY,The Killing Fields,Chris Menges
1984,1985,COSTUME DESIGN,Amadeus,Theodor Pistek
1984,1985,DIRECTING,Amadeus,Milos Forman
1984,1985,DOCUMENTARY (Feature),The Times of Harvey Milk,"Robert Epstein and Richard Schmiechen, Producers"
1984,1985,DOCUMENTARY (Short Subject),The Stone Carvers,"Marjorie Hunt and Paul Wagner, Producers"
1984,1985,FILM EDITING,The Killing Fields,Jim Clark
1984,1985,FOREIGN LANGUAGE FILM,Dangerous Moves,Switzerland
1984,1985,MAKEUP,Amadeus,"Paul LeBlanc, Dick Smith"
1984,1985,MUSIC (Original Score),A Passage to India,Maurice Jarre
1984,1985,MUSIC (Original Song Score),Purple Rain,Prince
1984,1985,MUSIC (Original Song),The Woman in Red,Music and Lyric by Stevie Wonder
1984,1985,SHORT FILM (Animated),Charade (1984),"Jon Minnis, Producer"
1984,1985,SHORT FILM (Live Action),Up (1984),"Mike Hoover, Producer"
1984,1985,SOUND,Amadeus,"Mark Berger, Tom Scott, Todd Boekelheide, Chris Newman"
1984,1985,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),The River,Kay Rose
1984,1985,VISUAL EFFECTS,Indiana Jones and the Temple of Doom,"Dennis Muren, Michael McAlister, Lorne Peterson, George Gibbs"
1984,1985,WRITING (Screenplay Based on Material from Another Medium),Amadeus,Peter Shaffer
1984,1985,WRITING (Screenplay Written Directly for the Screen),Places in the Heart,Robert Benton
1985,1986,ACTOR IN A LEADING ROLE,Kiss of the Spider Woman,William Hurt
1985,1986,ACTOR IN A SUPPORTING ROLE,Cocoon,Don Ameche
1985,1986,ACTRESS IN A LEADING ROLE,The Trip to Bountiful,Geraldine Page
1985,1986,ACTRESS IN A SUPPORTING ROLE,Prizzi's Honor,Anjelica Huston
1985,1986,ART DIRECTION,Out of Africa,Art Direction:  Stephen Grimes;  Set Decoration:  Josie MacAvin
1985,1986,BEST PICTURE,Out of Africa,"Sydney Pollack, Producer"
1985,1986,CINEMATOGRAPHY,Out of Africa,David Watkin
1985,1986,COSTUME DESIGN,Ran,Emi Wada
1985,1986,DIRECTING,Out of Africa,Sydney Pollack
1985,1986,DOCUMENTARY (Feature),Broken Rainbow,"Maria Florio and Victoria Mudd, Producers"
1985,1986,DOCUMENTARY (Short Subject),Witness to War: Dr. Charlie Clements,"David Goodman, Producer"
1985,1986,FILM EDITING,Witness,Thom Noble
1985,1986,FOREIGN LANGUAGE FILM,The Official Story,Argentina
1985,1986,MAKEUP,Mask,"Michael Westmore, Zoltan Elek"
1985,1986,MUSIC (Original Score),Out of Africa,John Barry
1985,1986,MUSIC (Original Song),White Nights,Music and Lyric by Lionel Richie
1985,1986,SHORT FILM (Animated),Anna & Bella,"Cilia Van Dijk, Producer"
1985,1986,SHORT FILM (Live Action),Molly's Pilgrim,"Jeff Brown and Chris Pelzer, Producers"
1985,1986,SOUND,Out of Africa,"Chris Jenkins, Gary Alexander, Larry Stensvold, Peter Handford"
1985,1986,SOUND EFFECTS EDITING,Back to the Future,"Charles L. Campbell, Robert Rutledge"
1985,1986,VISUAL EFFECTS,Cocoon,"Ken Ralston, Ralph McQuarrie, Scott Farrar, David Berry"
1985,1986,WRITING (Screenplay Based on Material from Another Medium),Out of Africa,Kurt Luedtke
1985,1986,WRITING (Screenplay Written Directly for the Screen),Witness,"Screenplay by Earl W. Wallace, William Kelley;  Story by William Kelley, Pamela Wallace, Earl W. Wallace"
1986,1987,ACTOR IN A LEADING ROLE,The Color of Money,Paul Newman
1986,1987,ACTOR IN A SUPPORTING ROLE,Hannah and Her Sisters,Michael Caine
1986,1987,ACTRESS IN A LEADING ROLE,Children of a Lesser God,Marlee Matlin
1986,1987,ACTRESS IN A SUPPORTING ROLE,Hannah and Her Sisters,Dianne Wiest
1986,1987,ART DIRECTION,A Room with a View,"Art Direction:  Gianni Quaranta, Brian Ackland-Snow;  Set Decoration:  Brian Savegar, Elio Altamura"
1986,1987,BEST PICTURE,Platoon,"Arnold Kopelson, Producer"
1986,1987,CINEMATOGRAPHY,The Mission,Chris Menges
1986,1987,COSTUME DESIGN,A Room with a View,"Jenny Beavan, John Bright"
1986,1987,DIRECTING,Platoon,Oliver Stone
1986,1987,DOCUMENTARY (Feature),Artie Shaw: Time Is All You've Got,"Brigitte Berman, Producer"
1986,1987,DOCUMENTARY (Feature),Down and Out in America,"Joseph Feury and Milton Justice, Producers"
1986,1987,DOCUMENTARY (Short Subject),"Women--for America, for the World","Vivienne Verdon-Roe, Producer"
1986,1987,FILM EDITING,Platoon,Claire Simpson
1986,1987,FOREIGN LANGUAGE FILM,The Assault,The Netherlands
1986,1987,MAKEUP,The Fly (1986),"Chris Walas, Stephan Dupuis"
1986,1987,MUSIC (Original Score),'Round Midnight,Herbie Hancock
1986,1987,MUSIC (Original Song),Top Gun,Music by Giorgio Moroder; Lyric by Tom Whitlock
1986,1987,SHORT FILM (Animated),A Greek Tragedy,"Linda Van Tulden and Willem Thijssen, Producers"
1986,1987,SHORT FILM (Live Action),Precious Images,"Chuck Workman, Producer"
1986,1987,SOUND,Platoon,"John K. Wilkinson, Richard Rogers, Charles 'Bud' Grenzbach,  Simon Kaye"
1986,1987,SOUND EFFECTS EDITING,Aliens,Don Sharpe
1986,1987,VISUAL EFFECTS,Aliens,"Robert Skotak, Stan Winston, John Richardson, Suzanne Benson"
1986,1987,WRITING (Screenplay Based on Material from Another Medium),A Room with a View,Ruth Prawer Jhabvala
1986,1987,WRITING (Screenplay Written Directly for the Screen),Hannah and Her Sisters,Woody Allen
1987,1988,ACTOR IN A LEADING ROLE,Wall Street,Michael Douglas
1987,1988,ACTOR IN A SUPPORTING ROLE,The Untouchables,Sean Connery
1987,1988,ACTRESS IN A LEADING ROLE,Moonstruck,Cher
1987,1988,ACTRESS IN A SUPPORTING ROLE,Moonstruck,Olympia Dukakis
