1984,Literature,Jaroslav Seifert,1901-09-23
1984,Medicine,César Milstein,1927-10-08
1984,Medicine,Georges J.F. Köhler,1946-04-17
1984,Medicine,Niels K. Jerne,1911-12-23
1984,Peace,Desmond Tutu,1931-10-07
1984,Physics,Carlo Rubbia,1934-03-31
1984,Physics,Simon van der Meer,1925-11-24
1985,Chemistry,Herbert A. Hauptman,1917-02-14
1985,Chemistry,Jerome Karle,1918-06-18
1985,Economics,Franco Modigliani,1918-06-18
1985,Literature,Claude Simon,1913-10-10
1985,Medicine,Joseph L. Goldstein,1940-04-18
1985,Medicine,Michael S. Brown,1941-04-13
1985,Peace,International Physicians for the Prevention of Nuclear War,
1985,Physics,Klaus von Klitzing,1943-06-28
1986,Chemistry,Dudley R. Herschbach,1932-06-18
1986,Chemistry,John C. Polanyi,1929-01-23
1986,Chemistry,Yuan T. Lee,1936-11-19
1986,Economics,James M. Buchanan Jr.,1919-10-03
1986,Literature,Wole Soyinka,1934-07-13
1986,Medicine,Rita Levi-Montalcini,1909-04-22
1986,Medicine,Stanley Cohen,1922-11-17
1986,Peace,Elie Wiesel,1928-09-30
1986,Physics,Ernst Ruska,1906-12-25
1986,Physics,Gerd Binnig,1947-07-20
1986,Physics,Heinrich Rohrer,1933-06-06
1987,Chemistry,Charles J. Pedersen,1904-10-03
1987,Chemistry,Donald J. Cram,1919-04-22
1987,Chemistry,Jean-Marie Lehn,1939-09-30
1987,Economics,Robert M. Solow,1924-08-23
1987,Literature,Joseph Brodsky,1940-05-24
1987,Medicine,Susumu Tonegawa,1939-09-05
